wavelength[um]           flux[Jy]
5.866299121442203557e+00 1.437088581742806753e-04
5.872168354690942671e+00 1.944236896210676266e-04
5.878043460108524521e+00 1.069089835081974907e-04
5.883924443570055729e+00 7.470992986637096055e-05
5.889811310956534207e+00 1.627794093130613851e-04
5.895704068154810962e+00 7.480700057211237550e-05
5.901602721057636280e+00 2.078747690538173827e-04
5.907507275563671278e+00 3.052807907577673218e-04
5.913417737577482569e+00 2.901542970739472973e-04
5.919334113009534271e+00 2.142298142827341479e-04
5.925256407776183565e+00 2.049691453658918994e-04
5.931184627799722442e+00 2.095796708649802877e-04
5.937118779008377700e+00 4.900265706957584192e-05
5.943058867336306506e+00 1.348405886678082414e-04
5.949004898723619483e+00 1.616384772019466049e-04
5.954956879116325652e+00 2.082756652484933711e-04
5.960914814466400813e+00 3.296415530977835941e-04
5.966878710731783109e+00 1.428197192855646790e-04
5.972848573876380129e+00 2.499720287914796693e-04
5.978824409870050260e+00 2.896696116105273544e-04
5.984806224688616894e+00 1.985704803649282729e-04
5.990794024313907506e+00 1.091704653882590579e-04
5.996787814733730571e+00 2.708553083578085470e-04
6.002787601941869333e+00 4.487548169868576077e-04
6.008793391938100470e+00 3.929071510699794537e-04
6.014805190728216289e+00 1.695662659128262186e-04
6.020823004324017624e+00 2.444269227279828420e-04
6.026846838743330714e+00 4.413972271859625904e-04
6.032876700009986770e+00 2.467489127533944895e-04
6.038912594153840629e+00 2.524656947597706588e-04
6.044954527210790296e+00 8.104115903595737573e-05
6.051002505222770722e+00 4.183238691431476430e-05
6.057056534237768908e+00 2.505990984084089756e-04
6.063116620309811466e+00 2.244812547405884674e-04
6.069182769498976171e+00 9.850677909373384440e-05
6.075254987871400836e+00 1.048586315568543443e-04
6.081333281499319732e+00 2.877302248392845990e-04
6.087417656461035165e+00 3.254616353531056099e-04
6.093508118840904153e+00 3.470949459454432807e-04
6.099604674729400600e+00 3.299392551272756018e-04
6.105707330223097529e+00 1.580890321723793816e-04
6.111816091424632447e+00 1.286638234232640604e-04
6.117930964442757080e+00 1.717620098525932690e-04
6.124051955392355140e+00 3.545621469550987496e-04
6.130179070394425445e+00 2.874804634522917400e-04
6.136312315576075704e+00 3.094285424124507220e-04
6.142451697070549166e+00 1.680697816063405150e-04
6.148597221017229053e+00 1.787638602523840801e-04
6.154748893561649226e+00 1.974234216816326832e-04
6.160906720855489738e+00 1.076468092989709704e-04
6.167070709056560851e+00 1.915284042430516844e-04
6.173240864328839450e+00 2.081348816411940339e-04
6.179417192842490358e+00 3.004459591573094995e-04
6.185599700773854792e+00 9.020476419676925247e-05
6.191788394305445031e+00 3.363265200861173120e-04
6.197983279625935538e+00 3.228743198979267372e-04
6.204184362930219798e+00 3.742712261624974975e-04
6.210391650419380127e+00 2.653645965718529282e-04
6.216605148300706318e+00 4.110634089266309785e-04
6.222824862787706302e+00 2.794958283424382002e-04
6.229050800100091934e+00 4.438515081190855878e-04
6.235282966463794097e+00 4.320912024098684957e-04
6.241521368110988455e+00 2.965639938607189424e-04
6.247766011280059040e+00 4.392602812301163082e-04
6.254016902215656870e+00 6.085398459830314126e-04
6.260274047168675082e+00 4.599894480713375236e-04
6.266537452396248931e+00 3.760210071942161805e-04
6.272807124161806414e+00 3.797655371160708112e-04
6.279083068735027418e+00 4.214976826749324327e-04
6.285365292391836611e+00 3.882867448307442842e-04
6.291653801414452296e+00 4.876678472982258353e-04
6.297948602091396175e+00 4.547886679668085709e-04
6.304249700717477367e+00 6.129577944678153397e-04
6.310557103593776418e+00 7.183421166855051858e-04
6.316870817027704810e+00 4.259693562538011992e-04
6.323190847332972098e+00 6.154919110750801991e-04
6.329517200829613444e+00 4.039603617271295068e-04
6.335849883843988728e+00 3.789071710588095285e-04
6.342188902708794096e+00 1.137937755361878540e-04
6.348534263763021990e+00 2.461118662872757755e-04
6.354885973352024209e+00 4.204952962144225702e-04
6.361244037827539444e+00 4.041223518488276656e-04
6.367608463547619557e+00 2.446355557888461440e-04
6.373979256876696198e+00 2.093221639317198284e-04
6.380356424185564812e+00 4.063909248209356161e-04
6.386739971851379316e+00 3.043864881334245459e-04
6.393129906257698281e+00 2.567567963756560326e-04
6.399526233794451180e+00 3.562185190624034075e-04
6.405928960857969479e+00 1.574675489141869197e-04
6.412338093850993737e+00 7.205715793761355379e-05
6.418753639182644299e+00 5.272771663837230700e-05
6.425175603268466595e+00 2.168681540297008571e-04
6.431603992530423142e+00 1.310854354790950277e-04
6.438038813396905979e+00 2.157449767218203116e-04
6.444480072302737561e+00 3.271015966217509703e-04
6.450927775689183186e+00 1.254449716645063154e-04
6.457381930003953663e+00 2.468468879095490551e-04
6.463842541701190214e+00 3.288594259234481256e-04
6.470309617241495559e+00 1.077876913291410317e-04
6.476783163091949902e+00 1.171684443242166886e-04
6.483263185726115374e+00 9.612026336644815129e-05
6.489749691624010275e+00 1.105313950064048259e-04
6.496242687272122396e+00 7.331000833763703266e-05
6.502742179163472080e+00 1.629787320445182488e-04
6.509248173797546499e+00 2.205158977186367445e-04
6.515760677680336066e+00 1.648218494658096778e-04
6.522279697324338876e+00 1.135516656103773730e-04
6.528805239248586467e+00 1.898926914127490662e-04
6.535337309978614506e+00 3.778422002228323242e-04
6.541875916046494766e+00 1.727675203432800413e-04
6.548421063990833346e+00 1.748871146559234895e-04
6.554972760356782224e+00 1.223654345755722356e-04
6.561531011696033922e+00 2.208118515085427235e-04
6.568095824566835716e+00 1.322671391046886368e-04
6.574667205534010073e+00 8.186538899683256482e-05
6.581245161168946645e+00 1.871685199711163562e-04
6.587829698049589844e+00 1.690353902977247732e-04
6.594420822760478806e+00 9.293508536249806625e-05
6.601018541892749170e+00 1.667629137984273484e-04
6.607622862044110867e+00 2.845310580076785526e-04
6.614233789818875664e+00 1.318364620216731743e-04
6.620851331827976693e+00 1.405598671647867351e-04
6.627475494688962243e+00 1.129490733913618682e-04
6.634106285025994865e+00 5.204498638398079980e-05
6.640743709469855816e+00 8.589002739062095960e-05
6.647387774657985027e+00 2.833599822817053655e-04
6.654038487234453569e+00 3.430726092168610787e-04
6.660695853849973425e+00 2.262346883451290679e-04
6.667359881161896595e+00 2.400634265084631452e-04
6.674030575834250634e+00 1.795021804450590991e-04
6.680707944537742193e+00 1.806594138649909225e-04
6.687391993949728608e+00 2.157265794850785892e-04
6.694082730754263189e+00 3.806116590022812847e-04
